"id","name","title","location","state","country","state_abbv","continent","latitude","longitude"
"60","Graz","Graz","Graz","Styria","Austria","","3","47.0703","15.4389"
"61","Luxembourg","Luxembourg","Steinsel","Luxembourg","Luxembourg","LU","3","49.6833","6.1167"
"62","Cairo","Cairo","10th of Ramadan City","Sharqia","Egypt","SHR","5","30.0566","31.2262"
"63","Fez","Fez","Fez","Fes-Meknes","Morocco","","5","34.0442","-5.0019"
"64","Bangkok","Bangkok","Bangkok","Bangkok","Thailand","","3","13.75","100.4833"
"65","Hanoi","Hanoi","Hanoi","Hanoi","Vietnam","","3","21.0409","105.7981"
"66","Istanbul","Istanbul","Istanbul","Istanbul","Turkey","","3","41.0128","28.9744"
"67","Bucharest","Bucharest","Bucharest","Bucharest","Romania","B","3","44.4167","26.1"
"68","Philadelphia","Philadelphia","Philadelphia","Pennsylvania","United States","PA","1","39.9522","-75.1642"
"69","Varna","Varna","Varna","Varna","Bulgaria","","3","43.2167","27.9167"
"70","Santiago","Santiago","Santiago","Santiago Metropolitan","Chile","RM","2","-33.0333","-71.5417"
"71","Denver","Denver","Denver","Colorado","United States","CO","1","39.7392","-104.9842"
"72","HongKong","Hong Kong","Hong Kong","","Hong Kong","","3","22.3","114.1667"
"73","SanDiego","San Diego","San Diego","California","United States","CA","1","32.7153","-117.1564"
"74","Heredia","Heredia","San Jose","San Jose","Costa Rica","SJ","1","10.0","-84.1167"
"75","Jacksonville","Jacksonville","Jacksonville","Florida","United States","FL","1","30.3319","-81.6558"
"76","Reykjavik","Reykjavik","Hafnarfjordur","Capital Region","Iceland","","3","64.1333","-21.9333"
"77","Manchester","Manchester","Manchester","England","United Kingdom","ENG","3","53.48","-2.24"
"78","Charlotte","Charlotte","Charlotte","North Carolina","United States","NC","1","35.2269","-80.8433"
"79","LasVegas","Las Vegas","Las Vegas","Nevada","United States","NV","1","36.08","-115.1522"
"80","Columbus","Columbus","Columbus","Ohio","United States","OH","1","39.9611","-82.9989"
"81","Detroit","Detroit","Detroit","Michigan","United States","MI","1","42.3314","-83.0458"
"82","Portland","Portland","Portland","Oregon","United States","OR","1","45.5236","-122.675"
"83","Halifax","Halifax","Halifax","Nova Scotia","Canada","NS","1","44.65","-63.6"
"84","Hangzhou","Hangzhou","Hangzhou","Zhejiang","China","ZJ","3","30.25","120.1667"
